"Between 13 December 2019 and 1 May 2020, will either Moody's or S&P downgrade Bolivia's credit rating?",2019-12-20T18:00:04Z,2020-03-10T23:00:10Z,Yes,"['Yes', 'No']","['Finance', 'Economic Policy']",231,654,120,237,,https://www.gjopen.com/questions/1424-between-13-december-2019-and-1-may-2020-will-either-moody-s-or-s-p-downgrade-bolivia-s-credit-rating
81287,2020-03-10T21:44:29Z,3,[11.0],[-13.0],"Lowering chance as stable for a while, plus credt agencies have a lot of other thing on their plate on timings."
81379,2020-03-10T19:07:56Z,3,[13.0],[-2.0],Moving back down a few points based on the surprising stability in Bolivia during the market's turn yesterday
85994,2020-03-10T01:56:39Z,1,[15.0],[15.0],
63674,2020-03-10T00:54:47Z,4,[5.0],[-20.0],
86046,2020-03-09T22:43:16Z,1,[75.0],[75.0],
63963,2020-03-09T14:03:40Z,3,[5.0],[-15.0],
37236,2020-03-07T12:03:06Z,5,[17.0],[-10.0],
59881,2020-03-07T08:16:07Z,1,[50.0],[50.0],
31275,2020-03-07T03:39:21Z,8,[22.0],[-4.0],
38094,2020-03-06T18:43:34Z,4,[3.0],[-2.0],"With everyone hunkered down, working from home, and global threats to economic activity it's very doubtful action will be taken prior to the election."
691,2020-03-06T14:33:20Z,21,[12.0],[-8.0],
13306,2020-03-06T11:33:07Z,5,[15.0],[-20.0],
84658,2020-03-05T22:46:17Z,2,[0.0],[-45.0],
695,2020-03-05T19:31:12Z,2,[55.0],[-20.0],
85746,2020-03-05T14:17:56Z,1,[20.0],[20.0],
19127,2020-03-05T11:51:23Z,9,[31.0],[-4.0],
85805,2020-03-05T01:02:55Z,1,[25.0],[25.0],
81329,2020-03-04T02:31:06Z,4,[17.0],[-3.0],"The longer we go, the more stable Bolivia is looking (in Bolivian terms, of course). Decreasing chance that they'll be further downgraded before the election."
81379,2020-03-04T00:50:12Z,2,[15.0],[2.0],moving up a few percentage points based on overall market trends- still seems unlikely
31275,2020-03-04T00:36:13Z,7,[26.0],[-8.0],Lowering. Probably waiting.
691,2020-03-03T12:35:09Z,20,[20.0],[-2.0],
691,2020-03-02T13:41:41Z,19,[22.0],[-6.0],
77502,2020-03-02T04:51:59Z,1,[25.0],[25.0],
81582,2020-03-01T20:35:35Z,2,[30.0],[-30.0],"Lowering assessment. While I think the economic outlook will ultimately result in a downgrade, I agree with the opinion that it is likely to not happened until after the elections."
45594,2020-03-01T08:39:35Z,1,[65.0],[65.0],
1333,2020-03-01T07:15:57Z,19,[54.0],[-1.0],
