Will local elections be held in the city of Donetsk before 1 May 2016?,2016-01-19T18:00:30Z,2016-04-30T21:00:16Z,No,"[' Yes, and the elections will be recognized by the government of Ukraine', 'Yes, but the elections will not be recognized by the government in Ukraine', 'No']","['Security and Conflict', 'Non-US Politics']",834,653,305,236,,https://www.gjopen.com/questions/114-will-local-elections-be-held-in-the-city-of-donetsk-before-1-may-2016
16421,2016-05-01T03:30:40Z,3,"[0.0, 0.0, 100.0]","[0.0, -10.0, 10.0]",
23006,2016-04-30T23:04:23Z,1,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]",
368,2016-04-30T19:31:29Z,57,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
14880,2016-04-30T17:34:38Z,2,"[0.0, 0.0, 100.0]","[0.0, -3.0, 3.0]",Just updating for passage of time.
15640,2016-04-30T14:58:50Z,8,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
691,2016-04-30T13:02:20Z,99,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
3214,2016-04-30T07:20:42Z,5,"[0.0, 0.0, 100.0]","[-1.0, -2.0, 3.0]",
11038,2016-04-30T03:16:34Z,1,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]",
15352,2016-04-30T02:02:17Z,8,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
24282,2016-04-29T18:40:27Z,1,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]",
368,2016-04-29T17:34:50Z,56,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
22243,2016-04-29T15:06:37Z,2,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
20858,2016-04-29T13:54:54Z,1,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]",
691,2016-04-29T11:44:37Z,98,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
20785,2016-04-28T22:53:23Z,5,"[0.0, 0.0, 100.0]","[0.0, -2.0, 2.0]",
23350,2016-04-28T14:24:17Z,2,"[0.0, 0.0, 100.0]","[0.0, -5.0, 5.0]",
22970,2016-04-28T13:58:17Z,1,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]",
691,2016-04-28T12:13:50Z,97,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
9755,2016-04-27T23:03:23Z,3,"[0.0, 0.0, 100.0]","[0.0, -5.0, 5.0]",
368,2016-04-27T20:26:45Z,55,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
691,2016-04-27T11:56:39Z,96,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
500,2016-04-26T17:03:36Z,3,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
691,2016-04-26T12:09:20Z,95,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
102,2016-04-26T04:04:06Z,25,"[0.0, 2.0, 98.0]","[0.0, 2.0, -2.0]",https://larswericson.wordpress.com/2016/04/26/gitrep-25apr16pm/
61,2016-04-26T01:23:06Z,1,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]",
24073,2016-04-25T22:00:39Z,1,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]",
368,2016-04-25T21:46:37Z,54,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
15108,2016-04-25T17:59:30Z,1,"[0.0, 0.0, 100.0]","[0.0, 0.0, 100.0]",
691,2016-04-25T11:08:56Z,94,"[0.0, 0.0, 100.0]","[0.0, 0.0, 0.0]",
1596,2016-04-25T01:47:22Z,2,"[0.0, 0.0, 100.0]","[0.0, -1.0, 1.0]",
